Class Confidence xmin ymin xmax ymax
0 0.86 293.25 163.13 329.81 196.69
0 0.85 375.36 228.93 414.39 265.37
0 0.85 224.34 234.06 260.96 270.74
0 0.85 298.56 231.91 337.69 267.34
0 0.84 152.16 237.33 187.39 272.08
0 0.84 54.88 108.07 84.98 139.50
0 0.82 287.71 99.66 322.85 130.01
0 0.82 154.38 311.18 188.66 346.86
0 0.82 216.36 102.64 250.81 133.89
0 0.81 367.30 160.65 404.41 193.95
0 0.81 150.95 170.10 184.38 203.17
0 0.81 384.04 304.49 425.34 341.04
0 0.81 464.72 84.20 503.04 117.71
0 0.80 52.87 171.93 85.15 204.83
0 0.80 149.06 106.57 180.51 137.66
0 0.80 49.01 393.21 84.94 432.35
0 0.79 220.72 166.91 256.17 200.41
0 0.79 50.18 311.41 85.57 348.12
0 0.79 51.60 238.72 85.19 274.18
0 0.77 499.69 297.82 545.29 337.64
0 0.77 514.71 386.06 560.98 428.29
0 0.77 474.63 152.85 516.67 187.53
0 0.76 305.53 304.47 344.96 342.11
0 0.76 394.90 387.94 439.71 451.76
0 0.76 228.75 308.30 266.45 345.33
0 0.76 359.12 94.45 395.82 126.85
0 0.74 486.82 223.02 530.56 259.84
0 0.69 155.83 392.03 193.87 453.89
0 0.67 313.26 388.21 354.44 452.01
0 0.50 48.19 490.24 84.47 586.04
