Class Confidence xmin ymin xmax ymax
0 0.86 450.96 362.55 500.61 410.64
0 0.85 335.85 364.78 381.52 411.44
0 0.84 226.07 366.52 271.39 411.60
0 0.80 9.02 370.74 56.49 416.34
0 0.80 117.99 374.00 161.54 412.66
0 0.77 335.12 435.07 381.78 465.56
0 0.77 230.23 305.87 276.40 331.48
0 0.76 534.00 366.65 565.55 413.72
0 0.76 243.10 187.84 285.58 212.62
0 0.75 338.59 304.13 382.18 329.51
0 0.73 447.86 239.46 495.84 265.76
0 0.72 1.56 440.18 49.69 468.31
0 0.72 451.30 436.04 499.87 465.20
0 0.69 106.23 436.45 157.73 466.73
0 0.69 235.30 246.63 281.38 270.06
0 0.69 143.24 192.79 185.71 224.17
0 0.68 449.92 300.30 497.36 328.37
0 0.67 344.56 130.00 387.78 152.05
0 0.67 343.38 183.56 386.63 209.16
0 0.66 447.52 183.05 492.10 207.31
0 0.66 340.52 244.55 385.25 267.29
0 0.65 135.94 249.73 178.49 279.14
0 0.65 529.88 305.14 560.61 336.47
0 0.65 250.71 136.94 289.49 156.69
0 0.64 526.22 244.85 557.95 274.90
0 0.63 45.54 194.53 89.94 219.79
0 0.60 522.76 188.56 553.63 218.01
0 0.59 253.98 84.87 292.30 103.80
0 0.59 150.67 138.65 190.96 161.82
0 0.57 532.55 435.52 563.64 467.71
0 0.55 23.36 309.93 68.24 336.46
0 0.52 33.67 251.76 79.35 276.17
0 0.50 347.69 82.66 387.17 100.10
0 0.50 519.64 138.20 546.72 162.87
